time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-21 00:00:00+00:00,4,4,55,13
2026-08-22 00:00:00+00:00,3,3,37,17
2026-08-23 00:00:00+00:00,9,4,64,14
2026-08-24 00:00:00+00:00,5,4,86,13
2026-08-25 00:00:00+00:00,1,1,20,7
2026-08-26 00:00:00+00:00,2,2,44,12
2026-08-27 00:00:00+00:00,17,7,54,12
2026-08-28 00:00:00+00:00,5,5,72,11
2026-08-29 00:00:00+00:00,11,6,39,10
2026-08-30 00:00:00+00:00,4,4,40,7
2026-08-31 00:00:00+00:00,3,3,79,14
2026-09-01 00:00:00+00:00,4,3,128,15
2026-09-02 00:00:00+00:00,4,2,40,14
2026-09-03 00:00:00+00:00,11,6,25,8
