time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-27 00:00:00+00:00,12,5,100,20
2026-04-28 00:00:00+00:00,14,4,75,28
2026-04-29 00:00:00+00:00,18,6,30,10
2026-04-30 00:00:00+00:00,22,8,74,19
2026-05-01 00:00:00+00:00,28,7,27,12
2026-05-02 00:00:00+00:00,18,5,81,14
2026-05-03 00:00:00+00:00,27,10,47,14
2026-05-04 00:00:00+00:00,35,9,37,14
2026-05-05 00:00:00+00:00,24,8,68,20
2026-05-06 00:00:00+00:00,58,29,77,18
2026-05-07 00:00:00+00:00,32,12,50,14
2026-05-08 00:00:00+00:00,32,11,122,19
2026-05-09 00:00:00+00:00,30,9,61,19
2026-05-10 00:00:00+00:00,14,5,95,27
