time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-13 00:00:00+00:00,5,5,57,16
2026-04-14 00:00:00+00:00,16,5,49,22
2026-04-15 00:00:00+00:00,5,4,67,18
2026-04-16 00:00:00+00:00,8,3,37,13
2026-04-17 00:00:00+00:00,9,4,23,10
2026-04-18 00:00:00+00:00,16,8,27,12
2026-04-19 00:00:00+00:00,33,12,101,20
2026-04-20 00:00:00+00:00,44,28,94,20
2026-04-21 00:00:00+00:00,58,34,65,23
2026-04-22 00:00:00+00:00,69,45,49,18
2026-04-23 00:00:00+00:00,95,43,85,15
2026-04-24 00:00:00+00:00,112,58,103,15
2026-04-25 00:00:00+00:00,53,31,55,11
2026-04-26 00:00:00+00:00,29,12,104,19
