time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-16 00:00:00+00:00,11,5,41,17
2026-05-17 00:00:00+00:00,16,7,12,4
2026-05-18 00:00:00+00:00,10,6,24,8
2026-05-19 00:00:00+00:00,15,6,35,19
2026-05-20 00:00:00+00:00,7,2,73,28
2026-05-21 00:00:00+00:00,35,17,40,14
2026-05-22 00:00:00+00:00,4,4,33,8
2026-05-23 00:00:00+00:00,28,10,33,14
2026-05-24 00:00:00+00:00,13,8,33,14
2026-05-25 00:00:00+00:00,8,5,47,19
2026-05-26 00:00:00+00:00,14,5,65,11
2026-05-27 00:00:00+00:00,24,11,90,13
2026-05-28 00:00:00+00:00,7,2,68,17
2026-05-29 00:00:00+00:00,15,5,45,11
